City,State,ID,Population of City,Count
Newbern,AL,2,160,1
New Brockton,AL,2,1346,1
New Hope,AL,2,2803,1
New Market,AL,2,1410,1
New Site,AL,2,767,1
Newton,AL,2,1709,1
New Union,AL,2,1088,1
Newville,AL,2,509,1
North Courtland,AL,2,710,1
North Johns,AL,2,179,1
Northport,AL,2,24339,1
Notasulga,AL,2,974,1
Oak Grove,AL,2,564,1
Oak Hill,AL,2,11,1
Oakman,AL,2,659,1
Odenville,AL,2,3663,1
Ohatchee,AL,2,962,1
Oneonta,AL,2,6633,1
Onycha,AL,2,197,1
Opelika,AL,2,28544,1
Opp,AL,2,6665,1
Orange Beach,AL,2,5682,1
Orrville,AL,2,110,1
Our Town,AL,2,490,1
Owens Cross Roads,AL,2,1667,1
Oxford,AL,2,21243,1
Ozark,AL,2,14786,1
Paint Rock,AL,2,208,1
Panola,AL,2,32,1
Parrish,AL,2,1086,1
Pelham,AL,2,22346,1
Pell City,AL,2,13312,1
Pennington,AL,2,218,1
Penton,AL,2,236,1
Perdido,AL,2,554,1
Perdido Beach,AL,2,599,1
Peterman,AL,2,120,1
Petrey,AL,2,42,1
Phenix City,AL,2,36639,1
Phil Campbell,AL,2,1149,1
Pickensville,AL,2,661,1
Piedmont,AL,2,4767,1
Pike Road,AL,2,7178,1
Pinckard,AL,2,460,1
Pine Apple,AL,2,138,1
Pine Hill,AL,2,929,1
Pine Level,AL,2,4552,1
Pine Ridge,AL,2,235,1
Pinson,AL,2,7448,1
Pisgah,AL,2,717,1
Pleasant Grove,AL,2,10270,1
Pleasant Groves,AL,2,560,1
Point Clear,AL,2,2495,1
Pollard,AL,2,236,1
Powell,AL,2,1037,1
Prattville,AL,2,34706,1
Priceville,AL,2,2943,1
Prichard,AL,2,22439,1
Providence,AL,2,268,1
Putnam,AL,2,100,1
Ragland,AL,2,1802,1
Rainbow City,AL,2,9608,1
Rainsville,AL,2,4992,1
Ranburne,AL,2,441,1
Ray,AL,2,480,1
Red Bay,AL,2,3143,1
Redland,AL,2,4331,1
Red Level,AL,2,364,1
Redstone Arsenal,AL,2,1657,1
Reece City,AL,2,793,1
Reeltown,AL,2,425,1
Reform,AL,2,2012,1
Rehobeth,AL,2,1602,1
Repton,AL,2,130,1
Ridgeville,AL,2,117,1
River Falls,AL,2,721,1
Riverside,AL,2,2296,1
Riverview,AL,2,138,1
Roanoke,AL,2,6013,1
Robertsdale,AL,2,5656,1
Rock Creek,AL,2,1336,1
Rockford,AL,2,620,1
Rock Mills,AL,2,648,1
Rockville,AL,2,34,1
Rogersville,AL,2,1099,1
Rosa,AL,2,385,1
Russellville,AL,2,9824,1
Rutledge,AL,2,342,1
St. Florian,AL,2,418,1
St. Stephens,AL,2,580,1
Saks,AL,2,10826,1
Samson,AL,2,2103,1
Sand Rock,AL,2,590,1
Sanford,AL,2,212,1
Saraland,AL,2,13715,1
Sardis City,AL,2,1654,1
Satsuma,AL,2,6152,1
Scottsboro,AL,2,14775,1
Section,AL,2,811,1
Selma,AL,2,19987,1
Selmont-West Selmont,AL,2,2574,1
Semmes,AL,2,3583,1
Sheffield,AL,2,9074,1
Shelby,AL,2,1364,1
Shiloh,AL,2,350,1
Shoal Creek,AL,2,1481,1
Shorter,AL,2,436,1
Silas,AL,2,680,1
Silverhill,AL,2,654,1
Sims Chapel,AL,2,163,1
Sipsey,AL,2,473,1
Skyline,AL,2,1048,1
Slocomb,AL,2,1880,1
Smiths Station,AL,2,5165,1
Smoke Rise,AL,2,2443,1
Snead,AL,2,765,1
Somerville,AL,2,691,1
Southside,AL,2,8514,1
South Vinemont,AL,2,545,1
Spanish Fort,AL,2,7578,1
Spring Garden,AL,2,179,1
Springville,AL,2,4174,1
Spruce Pine,AL,2,146,1
Standing Rock,AL,2,48,1
Stapleton,AL,2,1360,1
Steele,AL,2,945,1
Sterrett,AL,2,575,1
Stevenson,AL,2,2194,1
Stewartville,AL,2,1956,1
Stockton,AL,2,748,1
Sulligent,AL,2,1956,1
Sumiton,AL,2,2689,1
Summerdale,AL,2,986,1
Susan Moore,AL,2,731,1
Sweet Water,AL,2,304,1
Sylacauga,AL,2,12749,1
Sylvania,AL,2,2119,1
Sylvan Springs,AL,2,1729,1
Talladega,AL,2,15931,1
Talladega Springs,AL,2,224,1
Tallassee,AL,2,5380,1
Tarrant,AL,2,6278,1
Taylor,AL,2,2880,1
Theodore,AL,2,5942,1
Thomaston,AL,2,268,1
Thomasville,AL,2,4099,1
Thorsby,AL,2,2140,1
Tibbie,AL,2,24,1
Tidmore Bend,AL,2,1170,1
Tillmans Corner,AL,2,19065,1
Town Creek,AL,2,998,1
Toxey,AL,2,182,1
Trafford,AL,2,601,1
Triana,AL,2,578,1
Trinity,AL,2,2239,1
Troy,AL,2,18696,1
Trussville,AL,2,20351,1
Tuscaloosa,AL,2,94865,1
Tuscumbia,AL,2,8537,1
Tuskegee,AL,2,9218,1
Twin,AL,2,415,1
Underwood-Petersville,AL,2,3425,1
Union,AL,2,269,1
Union Grove,AL,2,81,1
Union Springs,AL,2,3915,1
Uniontown,AL,2,2841,1
Uriah,AL,2,278,1
Valley,AL,2,9444,1
Valley Grande,AL,2,3912,1
Valley Head,AL,2,587,1
Vance,AL,2,1302,1
Vandiver,AL,2,1020,1
Vernon,AL,2,2202,1
Vestavia Hills,AL,2,34116,1
Vina,AL,2,335,1
Vincent,AL,2,2032,1
Vinegar Bend,AL,2,214,1
Vredenburgh,AL,2,154,1
Wadley,AL,2,809,1
Waldo,AL,2,246,1
Walnut Grove,AL,2,910,1
Warrior,AL,2,3191,1
Waterloo,AL,2,143,1
Waverly,AL,2,266,1
Weaver,AL,2,3072,1
Webb,AL,2,1287,1
Wedowee,AL,2,714,1
Weogufka,AL,2,292,1
